dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
Breast Cancer,Bootstrap,14,0.9873772791023844,0.9707574934276236,0.016619785674760745
Breast Cancer,Bootstrap,15,0.9874125874125874,0.9705158896269096,0.016896697785677817
Breast Cancer,Bootstrap,16,0.988795518207283,0.9705801880897432,0.01821533011753973
Breast Cancer,Bootstrap,17,0.9902097902097902,0.967790849404936,0.02241894080485418
Breast Cancer,Bootstrap,18,0.988795518207283,0.9708620689655172,0.017933449241765764
Breast Cancer,Bootstrap,19,0.988795518207283,0.9666815530600982,0.022113965147184778
Breast Cancer,Column-wise,0,0.9531914893617022,0.9693090695899408,0.016117580228238615
Breast Cancer,Column-wise,1,0.9544159544159544,0.9708217339834628,0.01640577956750844
Breast Cancer,Column-wise,2,0.9502133712660028,0.969345700438464,0.019132329172461215
Breast Cancer,Column-wise,3,0.9518413597733713,0.9721019255727504,0.020260565799379182
Breast Cancer,Column-wise,4,0.9517045454545454,0.9653388938833948,0.013634348428849363
